mp_id,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,formation_energy (eV/atom),energy_above_hull (eV/atom),band_gap (eV),A_site,B_site,X_site
mp-1183115,Ac1 Al1 O3,3.85863387,3.85863387,3.85863387,90.0,90.0,90.0,cubic,Pm-3m,-3.690019421,0.0,4.1024,Ac,Al,O
mp-1183052,Ac1 B1 O3,3.721668,3.721668,3.721668,90.0,90.0,90.0,cubic,Pm-3m,-2.475389555,0.792472745,0.8071,Ac,B,O
mp-866101,Ac1 Cr1 O3,3.9442869,3.94430226,3.9442715,90.0,90.0,90.0,cubic,Pm-3m,-3.13897213,0.0,2.0031,Ac,Cr,O
mp-864606,Ac1 Cu1 O3,3.91333125,3.91333125,3.91333125,90.0,90.0,90.0,cubic,Pm-3m,-2.422892424,0.0,0.0,Ac,Cu,O
mp-861502,Ac1 Fe1 O3,3.95356962,3.9535675,3.95358451,90.00009246,90.0,90.0,cubic,Pm-3m,-2.771539466,0.0,0.9888,Ac,Fe,O
mp-1183053,Ac1 Ga1 O3,3.94626209,3.94626209,3.94626209,90.0,90.0,90.0,cubic,Pm-3m,-3.063252617,0.0,2.8959,Ac,Ga,O
mp-1183142,Ac1 Mg1 O3,4.016262,4.016262,4.016262,90.0,90.0,90.0,cubic,Pm-3m,-3.001845327,0.082312486,0.0,Ac,Mg,O
mp-864911,Ac1 Mn1 O3,3.96302168,3.96302168,3.96302168,90.0,90.0,90.0,cubic,Pm-3m,-2.973630023,0.0,0.0,Ac,Mn,O
mp-1183139,Ac1 Ni1 O3,3.87883955,3.87883649,3.87881202,90.0,90.0,90.0,cubic,Pm-3m,-2.455476575,0.0,0.0,Ac,Ni,O
mp-1183145,Ac1 Pd1 O3,4.05520794,4.05520691,4.05520589,90.0,90.0,90.0,cubic,Pm-3m,-2.236955405,0.008102041,0.0,Ac,Pd,O
mp-1183152,Ac1 Sc1 O3,4.125046,4.125046,4.125046,90.0,90.0,90.0,cubic,Pm-3m,-3.82906043,0.024140035,3.3847,Ac,Sc,O
mp-1183150,Ac1 Si1 O3,3.970175,3.970175,3.970175,90.0,90.0,90.0,cubic,Pm-3m,-2.868246384,0.473361866,0.0,Ac,Si,O
mp-865927,Ac1 Ti1 O3,3.99582001,3.99582001,3.99582001,90.0,90.0,90.0,cubic,Pm-3m,-3.607635738,0.0,0.0,Ac,Ti,O
mp-1183168,Ac1 V1 O3,3.96789433,3.96789746,3.96789433,90.0,90.0,90.0,cubic,Pm-3m,-3.141069096,0.0,0.0,Ac,V,O
mp-1105645,Ag3 S1 Br1,6.992429543,6.992429543,9.917093,90.0,90.0,91.0507128,ortho,Cmcm,-0.305523741,0.098312406,0.2964,S,Br,Ag
mp-1229116,Ag3 S1 Br1,4.921708553,4.980664015,4.825298,90.0,90.0,93.27696025,mono,Pm,-0.340137506,0.063698641,0.3987,S,Br,Ag
mp-36600,Ag3 S1 Br1,6.978889373,6.905923242,6.864160667,60.90296584,59.84408842,59.25294575,ortho,Fmm2,-0.335539761,0.068296386,0.3977,S,Br,Ag
mp-1173025,Ag3 S1 I1,7.115597778,7.032828703,6.990995493,60.97987425,59.80033117,59.21979458,ortho,Fmm2,-0.240416389,0.086675302,0.3398,S,I,Ag
mp-22995,Ag3 S1 I1,4.95772377,4.95772377,4.957723388,89.9093587,89.9093587,89.9093568,trig,R3,-0.260273494,0.066818197,0.5478,S,I,Ag
mp-558189,Ag3 S1 I1,5.009586,5.009586,5.009586,90.0,90.0,90.0,cubic,Pm-3m,-0.210696186,0.116395505,0.6243,S,I,Ag
mp-632480,Ag3 S1 I1,4.892054,4.925177547,5.12078399,89.94357745,89.40346588,88.71918978,tri,P1,-0.253409458,0.073682233,0.1676,S,I,Ag
mp-673825,Ag3 S1 I1,10.15182148,7.09353404,7.010985412,58.88260302,43.45932273,44.64430486,tri,P1,-0.242326689,0.084765002,0.257,S,I,Ag
mp-674981,Ag3 S1 I1,4.876098,5.020287,5.059902651,87.61947899,90.0,90.0,mono,Pm,-0.249866666,0.077225025,0.2624,S,I,Ag
mp-675879,Ag3 S1 I1,7.169073,4.912614,7.022944576,89.3374277,90.0,90.0,mono,P2_1,-0.251581948,0.075509743,0.3216,S,I,Ag
mp-676121,Ag3 S1 I1,4.31969,4.732148164,13.27867368,89.65796526,87.07948282,89.88724023,tri,P1,-0.253157371,0.07393432,0.3739,S,I,Ag
mp-676561,Ag3 S1 I1,4.999040194,4.999040194,4.999040596,91.00785625,91.00785625,91.00786029,trig,R32,-0.249479486,0.077612205,0.333,S,I,Ag
mp-1178563,Ag1 As1 O3,6.389075483,6.389075483,6.389075851,45.13452662,45.13452672,45.13451435,trig,R-3,-1.269711259,0.0,0.2921,Ag,As,O
